num_prefill_tokens,num_decode_tokens
455,6366
190,4153
570,13178
205,8675
244,9007
353,2360
219,5384
495,19233
1029,15352
407,10044
605,11597
692,8988
317,6559
482,2904
447,7667
316,2424
396,26055
249,1535
202,16175
342,6110
523,3330
480,14155
303,2704
537,16260
357,18513
464,8034
769,13450
424,4051
397,8373
417,5471
563,13975
266,4627
269,3272
553,8735
491,15356
227,2014
386,5460
476,3969
511,14227
733,7435
569,8619
854,9364
87,2129
293,2205
450,1898
222,4688
346,9368
266,3954
386,5233
467,3377
228,11715
502,4102
452,7115
519,14396
452,9106
675,8340
640,2758
273,3935
592,6310
501,2661
873,13932
287,2053
576,3162
297,6258
579,12560
353,2753
533,20156
470,3664
375,15921
487,3001
551,15699
381,5037
713,8718
452,4004
593,16454
469,17500
360,9288
346,3846
249,9900
204,3281
295,3771
325,4307
463,4320
1082,8587
1781,18700
592,18325
579,25195
337,18139
638,5228
233,17155
703,8897
780,7276
295,3729
529,5506
433,15135
628,12289
774,3499
415,6516
573,11124
244,8696
593,11652
231,11909
454,15665
195,19796
482,6660
360,5101
445,9484
435,7574
430,4192
409,13030
630,14007
303,6548
462,7612
328,5685
163,6664
259,3770
582,5269
360,6617
495,3378
668,4077
904,10495
608,17331
248,4050
360,4178
192,2042
949,2659
490,3055
624,12526
436,8478
404,5766
563,16521
541,15410
334,18324
560,5091
396,12419
929,18514
352,3267
358,20082
667,18409
434,11490
513,9611
363,2292
171,911
282,11928
694,15169
833,16398
765,14542
579,18239
401,17507
376,12480
476,2846
501,20890
400,3475
423,9500
237,2315
352,2200
262,9078
337,4040
256,2706
326,15478
302,2465
129,7418
667,4518
570,20155
411,3297
930,8696
371,10690
298,3295
462,14305
499,5458
381,6383
589,20612
632,17291
609,5028
334,18712
264,2229
374,8403
585,11542
635,10826
451,2989
268,9319
312,10863
577,2207
312,2157
300,12477
732,11281
566,8569
208,22052
567,11783
426,5935
284,4763
688,9191
314,20384
548,3081
566,17021
527,1984
844,11533
477,1420
929,20700
406,15268
672,11331
83,2844
341,7972
648,12157
356,2326
230,10290
313,5861
749,14675
931,13425
402,1383
618,9379
401,2680
878,9869
395,10460
520,5864
685,2991
816,15549
316,12634
416,9836
539,8422
397,8291
645,20151
249,5953
255,15607
628,10983
457,6266
347,5174
322,1680
396,2532
311,3438
650,6397
549,11886
833,9986
460,16043
