num_prefill_tokens,num_decode_tokens
78,14908
129,4978
61,10952
89,2618
104,5617
91,5494
42,3632
65,7014
56,4395
80,8386
82,5534
107,11776
51,1178
51,2847
39,2324
49,2507
95,3470
41,5372
72,7286
45,1734
38,4803
104,4523
79,1894
56,8980
136,26139
114,3047
51,7862
40,3006
44,1891
164,3616
47,17151
67,2752
128,1493
150,3058
57,8427
97,5373
65,14297
24,2869
128,16104
40,3437
49,4625
118,4832
72,10280
47,4834
76,8044
90,2973
203,1880
78,1119
81,1778
87,15083
35,3583
21,3685
119,2628
90,1746
103,4373
89,8079
67,6508
118,16253
61,3031
107,8583
38,1722
83,8552
128,2242
56,4951
105,6832
42,1746
134,8319
119,2746
83,1381
75,6872
142,7398
41,11336
78,12455
77,3128
143,16363
126,7057
114,9947
82,10088
67,3521
56,715
62,2970
75,14337
47,2094
130,5747
115,2387
43,3873
145,1630
95,13205
55,6134
30,3134
43,1650
46,8513
57,8281
44,2198
80,20176
45,7914
151,16948
152,6083
59,2237
37,1459
35,10601
61,11352
122,10317
71,14138
74,4106
104,3511
45,3228
126,8138
84,4800
93,5110
97,18335
68,4323
84,6663
48,1323
53,1882
130,7114
72,2298
54,2491
93,3368
68,6477
46,2960
25,9764
64,3816
39,978
105,7447
110,6142
90,3026
40,5509
35,2332
491,8497
97,8840
88,7795
11,3060
90,12292
135,13329
123,3030
137,3429
98,2174
69,9266
65,13108
43,11972
67,9482
117,5253
146,6142
72,12190
79,8784
81,4527
114,17066
76,2122
51,5618
33,8431
66,1539
40,2847
37,2644
56,4769
49,10949
57,10091
55,16259
107,6113
68,8824
275,6087
65,7637
65,6789
104,4574
81,14250
107,5364
42,7166
61,10686
48,635
69,9069
185,3101
52,4496
49,5315
123,14229
147,11422
162,4829
39,2430
80,1539
33,1745
33,4113
58,14702
96,3740
79,16493
59,16571
77,3650
152,4286
38,6197
24,785
64,5260
46,645
82,13389
116,1884
70,2461
100,8362
53,1959
171,4361
159,4509
51,2957
129,12156
37,1405
43,1571
77,8502
41,2770
89,7077
79,2673
73,7896
70,2940
265,8682
36,5746
37,7204
58,12795
71,17309
41,1699
92,5821
65,18603
93,8086
23,2490
65,6561
61,4167
146,2980
43,2740
114,2693
117,2172
60,15743
140,7533
66,2717
96,6392
66,10227
42,4872
31,3063
93,2587
124,12640
53,5542
51,17820
76,7208
122,18632
86,4363
67,10384
47,7131
125,1973
37,1931
76,7709
23,10582
66,5961
68,2932
131,1463
58,9781
92,12188
96,11524
31,8551
71,9768
112,2893
67,7377
125,9311
105,6627
66,3450
67,4403
106,2757
95,2621
102,6981
47,5382
63,5276
64,5159
27,6749
77,2726
74,8632
19,3841
66,6576
63,6261
72,6296
100,4813
124,3356
38,2648
146,7494
99,10224
45,7871
89,2088
52,2480
160,22970
239,9116
